loan_id,grade,home_ownership,purpose,verification_status,term,emp_length_int,mths_since_issue_d,int_rate,mths_since_earliest_cr_line,acc_now_delinq,inq_last_6mths,annual_inc,dti,good_bad
22893,B,MORTGAGE,debt_consolidation,Not Verified,36 months,6,43,12.49,231,0.0,3,45000.0,5.89,1
20819,C,MORTGAGE,debt_consolidation,Not Verified,36 months,0,38,14.49,115,0.0,0,70000.0,7.34,1
20914,C,MORTGAGE,debt_consolidation,Verified,36 months,8,54,15.8,152,0.0,0,48448.0,31.23,1
10846,F,MORTGAGE,debt_consolidation,Verified,60 months,8,51,24.08,285,0.0,2,80000.0,11.06,0
15398,C,OWN,home_improvement,Source Verified,36 months,4,52,16.78,356,0.0,1,18000.0,13.27,1
18926,B,RENT,debt_consolidation,Not Verified,36 months,0,42,12.49,469,0.0,0,125000.0,16.26,1
9882,B,MORTGAGE,debt_consolidation,Not Verified,36 months,10,41,12.49,220,0.0,1,82000.0,25.63,1
18459,B,MORTGAGE,credit_card,Source Verified,36 months,2,51,11.99,199,0.0,0,50000.0,21.72,1
12399,C,RENT,major_purchase,Source Verified,36 months,4,42,13.98,216,0.0,1,60000.0,16.38,1
949,B,RENT,debt_consolidation,Not Verified,36 months,8,54,11.14,153,0.0,1,54760.0,15.47,1
7526,C,RENT,credit_card,Verified,60 months,10,50,16.2,215,0.0,0,100000.0,14.9,1
13253,D,RENT,debt_consolidation,Not Verified,36 months,2,41,16.99,147,0.0,1,80000.0,12.09,1
26402,E,RENT,debt_consolidation,Verified,60 months,2,49,21.7,170,0.0,1,55000.0,7.83,1
27557,D,RENT,debt_consolidation,Source Verified,60 months,2,46,16.59,201,0.0,2,48000.0,31.57,1
12472,E,MORTGAGE,moving,Verified,36 months,4,52,20.8,167,0.0,1,50000.0,28.77,0
26622,B,MORTGAGE,debt_consolidation,Not Verified,36 months,2,45,10.99,329,0.0,0,115000.0,6.23,1
5039,D,MORTGAGE,debt_consolidation,Verified,36 months,3,50,20.2,184,0.0,3,35000.0,24.27,1
26668,C,RENT,vacation,Verified,36 months,10,38,14.99,76,0.0,1,70000.0,4.78,1
24401,B,RENT,credit_card,Not Verified,36 months,0,52,10.64,307,0.0,0,35000.0,28.87,1
7717,B,MORTGAGE,vacation,Verified,36 months,10,42,10.15,278,0.0,0,104000.0,16.92,1
15031,B,MORTGAGE,credit_card,Verified,36 months,9,38,10.15,321,0.0,3,80000.0,13.83,1
28940,D,MORTGAGE,debt_consolidation,Verified,60 months,10,36,15.99,198,0.0,0,90000.0,25.64,1
24346,B,MORTGAGE,home_improvement,Not Verified,36 months,6,54,11.14,228,0.0,0,55000.0,9.99,1
23943,B,MORTGAGE,credit_card,Source Verified,36 months,0,47,11.99,587,0.0,1,35940.0,25.14,1
29661,C,MORTGAGE,debt_consolidation,Source Verified,36 months,10,49,17.1,260,0.0,0,37000.0,18.86,1
29041,C,MORTGAGE,debt_consolidation,Source Verified,60 months,2,42,14.49,264,0.0,1,135000.0,20.6,1
11101,A,RENT,credit_card,Not Verified,36 months,5,70,7.9,205,0.0,0,40500.0,25.63,1
9498,C,MORTGAGE,home_improvement,Source Verified,36 months,6,70,13.49,207,0.0,0,67200.0,21.79,1
1454,D,RENT,credit_card,Source Verified,60 months,10,41,16.29,145,0.0,2,57540.0,14.64,1
27888,C,MORTGAGE,credit_card,Source Verified,36 months,1,46,14.98,334,0.0,2,200000.0,16.49,1
21167,C,RENT,debt_consolidation,Verified,60 months,2,46,14.16,279,0.0,1,64480.0,12.25,0
3444,A,MORTGAGE,debt_consolidation,Not Verified,36 months,3,57,7.9,231,0.0,1,72000.0,25.3,1
21441,C,OWN,debt_consolidation,Verified,60 months,10,60,16.29,273,0.0,0,54000.0,19.24,1
21284,A,MORTGAGE,credit_card,Not Verified,36 months,8,38,8.39,224,0.0,1,98000.0,11.07,1
26765,C,MORTGAGE,debt_consolidation,Not Verified,36 months,10,38,14.99,388,0.0,2,110000.0,36.08,1
3542,D,MORTGAGE,debt_consolidation,Verified,60 months,10,52,19.52,263,0.0,0,90000.0,18.25,1
29092,D,MORTGAGE,credit_card,Source Verified,60 months,10,37,16.49,289,0.0,1,48000.0,20.53,1
19529,A,MORTGAGE,debt_consolidation,Source Verified,36 months,10,50,8.6,276,0.0,0,140000.0,15.77,1
6227,D,RENT,debt_consolidation,Verified,36 months,0,44,18.25,514,0.0,0,18576.0,28.29,1
23559,E,MORTGAGE,debt_consolidation,Source Verified,60 months,9,40,18.99,159,0.0,1,44000.0,17.02,0
26386,D,MORTGAGE,debt_consolidation,Verified,60 months,1,48,18.25,359,0.0,1,95000.0,19.73,0
9455,C,MORTGAGE,debt_consolidation,Source Verified,60 months,5,46,15.61,232,0.0,3,88000.0,19.69,1
12055,C,RENT,debt_consolidation,Not Verified,36 months,10,77,12.99,368,0.0,0,60000.0,7.96,1
475,D,RENT,credit_card,Verified,36 months,10,50,18.55,141,0.0,0,28000.0,12.94,0
13451,B,RENT,credit_card,Not Verified,36 months,0,41,10.99,157,0.0,0,42000.0,16.91,1
16997,B,OWN,debt_consolidation,Not Verified,36 months,2,54,11.14,193,0.0,0,28000.0,25.59,1
26313,B,RENT,debt_consolidation,Verified,36 months,1,42,10.99,156,0.0,0,30800.0,28.88,1
28828,B,MORTGAGE,debt_consolidation,Not Verified,36 months,10,51,12.35,273,0.0,0,58000.0,12.87,1
798,C,MORTGAGE,debt_consolidation,Verified,60 months,2,63,16.29,312,0.0,2,123000.0,7.49,1
25219,A,MORTGAGE,credit_card,Source Verified,36 months,7,47,7.9,259,0.0,0,40000.0,20.52,1
8075,D,MORTGAGE,debt_consolidation,Source Verified,60 months,9,45,17.57,259,0.0,0,90000.0,16.81,1
19447,E,MORTGAGE,small_business,Source Verified,36 months,0,53,21.15,222,0.0,2,152000.0,20.61,1
22950,A,RENT,credit_card,Verified,36 months,4,74,6.62,251,0.0,1,58000.0,17.81,1
19858,B,MORTGAGE,other,Verified,60 months,10,37,8.67,196,0.0,0,70000.0,9.63,1
16211,D,MORTGAGE,debt_consolidation,Verified,60 months,10,40,17.57,266,0.0,0,75000.0,18.18,0
5822,B,MORTGAGE,debt_consolidation,Verified,36 months,10,55,12.12,203,0.0,0,50000.0,32.11,1
21081,A,OWN,debt_consolidation,Not Verified,36 months,10,72,7.9,306,0.0,0,45600.0,19.74,0
7560,C,MORTGAGE,debt_consolidation,Not Verified,36 months,5,38,14.99,170,0.0,2,40000.0,12.09,1
7272,C,MORTGAGE,debt_consolidation,Not Verified,36 months,5,36,13.66,153,0.0,0,60000.0,11.02,1
17726,C,RENT,small_business,Verified,36 months,1,65,17.27,179,0.0,1,50000.0,3.08,0
11350,E,MORTGAGE,debt_consolidation,Source Verified,60 months,3,36,21.99,177,,0,52000.0,32.84,1
6754,C,MORTGAGE,small_business,Verified,60 months,9,57,16.29,187,0.0,1,95337.45,0.93,1
21577,C,MORTGAGE,debt_consolidation,Not Verified,60 months,2,41,14.99,259,0.0,0,42000.0,17.06,1
17002,C,MORTGAGE,debt_consolidation,Source Verified,36 months,8,38,13.98,205,0.0,1,170000.0,19.83,1
14130,B,RENT,debt_consolidation,Source Verified,60 months,2,48,12.85,167,0.0,4,110000.0,11.0,1
25552,E,MORTGAGE,debt_consolidation,Source Verified,36 months,8,45,19.99,229,0.0,1,28000.0,26.79,1
29332,A,RENT,small_business,Not Verified,36 months,1,109,9.38,360,0.0,4,75000.0,1.36,0
658,A,OWN,credit_card,Not Verified,36 months,5,45,6.03,228,0.0,1,96000.0,13.71,1
4638,C,RENT,credit_card,Not Verified,36 months,2,63,15.8,158,,2,24609.0,23.5,0
29895,B,RENT,debt_consolidation,Not Verified,36 months,4,42,10.99,134,0.0,0,38000.0,17.78,1
11349,A,MORTGAGE,debt_consolidation,Verified,60 months,0,38,8.39,568,0.0,1,70000.0,27.94,1
28692,B,MORTGAGE,debt_consolidation,Source Verified,36 months,8,41,10.99,313,0.0,1,34000.0,9.64,1
4935,C,MORTGAGE,home_improvement,Source Verified,36 months,10,79,13.49,292,0.0,2,120000.0,14.05,0
374,B,MORTGAGE,debt_consolidation,Verified,60 months,10,55,11.14,296,0.0,1,94000.0,14.3,1
10033,D,MORTGAGE,debt_consolidation,Verified,36 months,9,37,15.59,304,0.0,2,109000.0,28.59,1
24461,B,RENT,debt_consolidation,Source Verified,60 months,7,80,11.11,214,0.0,0,45000.0,21.97,1
5726,B,MORTGAGE,home_improvement,Verified,60 months,4,69,13.11,206,0.0,3,65000.0,15.49,1
920,E,MORTGAGE,debt_consolidation,Source Verified,60 months,10,48,20.5,309,0.0,2,60000.0,16.8,1
28813,B,RENT,debt_consolidation,Source Verified,36 months,4,47,12.85,265,0.0,0,56000.0,21.45,0
29472,E,MORTGAGE,moving,Not Verified,36 months,8,41,22.15,280,,2,45000.0,23.07,1
10833,C,RENT,credit_card,Not Verified,36 months,10,54,15.8,182,0.0,1,40000.0,13.05,1
15539,C,MORTGAGE,debt_consolidation,Not Verified,36 months,10,43,14.99,221,0.0,0,55000.0,25.94,1
21056,B,RENT,credit_card,Verified,36 months,6,53,12.35,425,0.0,0,32656.0,6.91,1
11960,D,RENT,debt_consolidation,Verified,36 months,10,40,16.29,272,0.0,1,90000.0,18.72,1
12557,A,RENT,credit_card,Verified,36 months,3,38,7.69,212,0.0,0,55000.0,11.46,1
27344,E,MORTGAGE,debt_consolidation,Not Verified,60 months,8,41,20.2,264,0.0,0,121000.0,12.04,1
10095,B,RENT,credit_card,Source Verified,36 months,2,44,11.99,118,0.0,1,60000.0,22.96,1
26270,B,RENT,debt_consolidation,Source Verified,36 months,6,40,11.67,287,0.0,0,30000.0,10.36,1
24879,F,RENT,house,Source Verified,60 months,7,41,25.57,111,,1,63238.5,14.99,1
17323,C,OWN,home_improvement,Verified,36 months,10,45,14.16,316,0.0,1,425000.0,3.67,1
4826,D,MORTGAGE,home_improvement,Verified,60 months,8,38,17.57,254,0.0,1,49000.0,29.95,0
22293,B,MORTGAGE,debt_consolidation,Verified,36 months,6,49,11.99,319,0.0,2,71380.0,18.9,1
455,E,MORTGAGE,debt_consolidation,Not Verified,60 months,3,38,18.99,281,0.0,1,52000.0,35.47,1
9465,F,RENT,home_improvement,Source Verified,60 months,7,39,25.57,210,0.0,0,50000.0,20.45,1
4292,C,MORTGAGE,debt_consolidation,Verified,60 months,10,37,12.99,325,0.0,0,100000.0,4.68,1
9094,A,MORTGAGE,debt_consolidation,Verified,36 months,10,57,7.62,364,0.0,0,82000.0,13.96,1
17059,C,OWN,debt_consolidation,Not Verified,36 months,0,58,15.8,199,0.0,1,30000.0,13.08,0
12355,C,MORTGAGE,debt_consolidation,Verified,60 months,10,50,17.1,282,0.0,0,107509.0,17.04,1
6695,D,RENT,debt_consolidation,Verified,36 months,1,57,17.77,179,0.0,0,39000.0,29.32,1
14555,D,MORTGAGE,debt_consolidation,Verified,60 months,10,37,15.59,305,0.0,2,98000.0,22.56,1
7106,C,MORTGAGE,debt_consolidation,Verified,60 months,10,40,14.49,306,0.0,0,105000.0,8.8,1
11474,B,MORTGAGE,credit_card,Verified,36 months,3,38,10.99,214,0.0,3,55000.0,22.82,0
10641,B,RENT,credit_card,Not Verified,36 months,4,47,10.99,210,0.0,0,23000.0,19.94,1
27826,E,RENT,debt_consolidation,Source Verified,36 months,4,43,18.99,129,,3,64176.0,23.43,1
8667,C,MORTGAGE,credit_card,Not Verified,36 months,7,57,15.31,240,0.0,1,47000.0,15.52,1
20394,F,MORTGAGE,debt_consolidation,Verified,60 months,2,38,23.43,149,0.0,4,90000.0,18.0,1
19523,C,RENT,debt_consolidation,Verified,36 months,0,38,13.98,255,0.0,0,30000.0,29.48,1
18365,B,MORTGAGE,credit_card,Verified,36 months,10,49,10.99,222,0.0,1,36000.0,23.83,1
17145,C,RENT,debt_consolidation,Source Verified,36 months,0,44,14.64,193,0.0,2,64000.0,24.38,1
28410,A,RENT,wedding,Verified,36 months,4,70,7.9,226,0.0,0,83000.0,1.22,1
26912,E,RENT,debt_consolidation,Source Verified,36 months,8,38,18.99,159,0.0,2,50000.0,16.39,1
22820,D,MORTGAGE,credit_card,Verified,36 months,10,43,16.99,242,0.0,4,74000.0,9.55,1
22586,B,MORTGAGE,credit_card,Not Verified,60 months,10,40,11.67,295,0.0,2,96000.0,14.71,1
17528,C,RENT,debt_consolidation,Verified,36 months,7,47,14.98,229,,1,52000.0,8.65,1
21300,F,MORTGAGE,small_business,Verified,36 months,1,89,18.67,335,0.0,2,125000.0,22.8,0
8039,C,MORTGAGE,debt_consolidation,Source Verified,60 months,7,39,14.99,212,0.0,1,65000.0,17.21,1
2085,C,RENT,credit_card,Not Verified,36 months,10,66,15.31,141,0.0,1,60000.0,15.88,1
25943,B,MORTGAGE,credit_card,Source Verified,36 months,0,42,12.49,336,0.0,2,70000.0,8.36,1
11962,B,MORTGAGE,debt_consolidation,Source Verified,36 months,2,38,9.17,240,0.0,1,90000.0,10.09,1
17871,B,RENT,credit_card,Not Verified,36 months,10,58,12.12,201,0.0,1,61000.0,9.88,1
19205,B,RENT,debt_consolidation,Not Verified,36 months,3,87,11.86,227,0.0,1,45000.0,11.33,1
27476,D,RENT,debt_consolidation,Source Verified,60 months,6,38,17.57,294,0.0,3,54995.2,14.83,1
20866,C,MORTGAGE,debt_consolidation,Source Verified,60 months,3,42,13.98,230,0.0,1,59600.0,12.42,1
4686,A,RENT,debt_consolidation,Not Verified,36 months,0,38,6.49,212,,0,65000.0,15.53,1
728,B,MORTGAGE,credit_card,Source Verified,60 months,7,38,10.15,206,0.0,0,81000.0,18.16,1
25043,C,RENT,debt_consolidation,Verified,60 months,2,54,15.8,346,0.0,0,75000.0,14.38,1
13890,C,MORTGAGE,home_improvement,Verified,60 months,0,37,12.39,372,0.0,0,250000.0,8.45,0
23935,B,MORTGAGE,debt_consolidation,Source Verified,36 months,10,46,10.99,354,0.0,0,60000.0,19.06,1
9416,E,MORTGAGE,debt_consolidation,Not Verified,60 months,10,41,19.52,200,0.0,2,42000.0,26.71,1
27007,B,MORTGAGE,debt_consolidation,Verified,60 months,5,53,13.05,308,0.0,0,110000.0,33.72,1
19680,G,RENT,other,Verified,60 months,1,41,25.83,122,0.0,0,48000.0,6.33,1
17474,B,MORTGAGE,debt_consolidation,Not Verified,36 months,10,52,12.35,250,0.0,2,67000.0,5.77,1
29876,C,RENT,other,Not Verified,60 months,1,88,13.98,162,0.0,1,30700.0,23.65,1
18562,C,RENT,debt_consolidation,Source Verified,60 months,7,51,16.2,182,0.0,0,54000.0,21.22,1
22563,A,OWN,debt_consolidation,Source Verified,36 months,10,52,6.03,213,0.0,0,88400.0,11.55,1
25412,E,RENT,other,Verified,36 months,0,46,22.9,89,0.0,0,10392.0,15.82,1
1073,B,RENT,debt_consolidation,Source Verified,36 months,10,44,11.99,215,0.0,0,64000.0,11.12,1
7142,E,MORTGAGE,debt_consolidation,Verified,60 months,10,58,21.49,267,0.0,0,104000.0,20.0,0
28103,C,MORTGAGE,debt_consolidation,Verified,60 months,0,36,12.99,202,0.0,0,122000.0,17.43,1
8532,B,RENT,debt_consolidation,Source Verified,36 months,3,62,12.12,240,0.0,0,65000.0,12.13,1
8076,C,MORTGAGE,debt_consolidation,Verified,36 months,3,53,14.33,274,0.0,0,41500.0,14.52,1
21278,G,OWN,other,Verified,60 months,8,40,25.83,229,0.0,3,117000.0,18.49,1
21334,C,RENT,credit_card,Not Verified,36 months,4,40,14.49,140,0.0,1,50000.0,5.47,0
20102,D,RENT,small_business,Verified,36 months,5,37,17.86,154,0.0,0,70000.0,9.34,1
24534,A,MORTGAGE,credit_card,Not Verified,36 months,10,86,5.42,341,0.0,1,82000.0,16.11,1
4558,B,MORTGAGE,credit_card,Not Verified,36 months,8,69,9.76,202,0.0,0,35000.0,5.73,0
15521,D,MORTGAGE,debt_consolidation,Not Verified,36 months,10,43,16.99,245,0.0,3,44000.0,14.76,0
1478,B,RENT,debt_consolidation,Not Verified,36 months,10,46,12.85,246,0.0,1,78425.0,9.44,1
24015,A,RENT,credit_card,Not Verified,36 months,2,41,6.49,155,0.0,0,70200.0,16.62,1
29538,F,MORTGAGE,credit_card,Verified,36 months,10,82,18.62,499,0.0,2,105000.0,20.08,1
12317,A,RENT,debt_consolidation,Not Verified,36 months,0,42,8.39,268,0.0,1,56000.0,12.73,1
12056,E,MORTGAGE,debt_consolidation,Verified,60 months,2,44,19.99,194,0.0,3,89000.0,27.98,1
20837,A,OWN,debt_consolidation,Not Verified,36 months,10,40,7.69,506,0.0,0,43000.0,21.91,1
11640,B,MORTGAGE,debt_consolidation,Source Verified,60 months,0,39,10.99,170,0.0,0,45000.0,30.67,1
15473,A,MORTGAGE,credit_card,Not Verified,36 months,10,57,8.9,327,0.0,0,84000.0,11.43,1
26975,C,MORTGAGE,credit_card,Source Verified,60 months,10,38,14.49,281,0.0,2,197000.0,9.74,1
2353,E,MORTGAGE,debt_consolidation,Verified,60 months,2,41,20.99,123,0.0,0,54861.0,11.46,0
10002,B,RENT,vacation,Source Verified,36 months,10,65,11.14,331,0.0,0,90000.0,6.32,1
10338,D,MORTGAGE,other,Verified,36 months,10,60,18.49,400,0.0,0,32000.0,26.06,1
13160,C,RENT,debt_consolidation,Not Verified,36 months,10,50,14.3,232,0.0,1,34000.0,21.77,1
26851,D,MORTGAGE,credit_card,Not Verified,60 months,10,42,15.61,240,0.0,1,38000.0,21.23,0
23563,D,MORTGAGE,credit_card,Verified,60 months,7,41,16.29,263,,0,82000.0,25.01,1
15211,D,RENT,debt_consolidation,Source Verified,36 months,0,38,15.61,159,0.0,0,40000.0,8.88,0
23543,E,MORTGAGE,debt_consolidation,Verified,60 months,3,66,19.99,386,0.0,1,55000.0,32.65,0
28335,A,RENT,small_business,Verified,36 months,2,64,6.62,249,0.0,0,50000.0,1.82,1
3013,B,MORTGAGE,debt_consolidation,Verified,36 months,9,50,9.99,243,0.0,0,110000.0,13.29,1
15784,D,MORTGAGE,credit_card,Source Verified,60 months,5,44,16.59,170,0.0,0,31000.0,17.27,1
27372,C,MORTGAGE,debt_consolidation,Verified,60 months,3,65,13.99,216,0.0,0,78000.0,20.45,1
27332,E,RENT,debt_consolidation,Verified,36 months,2,44,22.45,375,0.0,2,89000.0,17.14,1
4933,B,RENT,credit_card,Not Verified,36 months,2,45,11.99,164,0.0,0,18000.0,7.53,0
1284,E,MORTGAGE,home_improvement,Verified,60 months,10,38,20.2,246,0.0,2,56000.0,13.42,1
6163,D,RENT,credit_card,Verified,36 months,0,50,20.2,241,0.0,0,73000.0,22.08,1
1587,B,MORTGAGE,debt_consolidation,Source Verified,36 months,9,39,10.99,344,,0,103793.0,23.81,1
27635,D,RENT,debt_consolidation,Verified,36 months,10,64,18.49,188,0.0,0,72000.0,29.58,1
14128,D,MORTGAGE,debt_consolidation,Verified,36 months,7,64,17.77,192,0.0,1,46000.0,6.86,1
24725,C,OWN,credit_card,Not Verified,36 months,2,41,12.99,121,0.0,0,32000.0,24.87,0
10174,D,RENT,debt_consolidation,Source Verified,60 months,0,41,16.99,266,0.0,0,75000.0,4.53,1
28426,B,RENT,debt_consolidation,Not Verified,36 months,2,42,11.67,123,0.0,0,63500.0,11.64,1
9612,F,RENT,small_business,Verified,60 months,3,39,24.08,331,0.0,1,241000.0,4.88,1
23003,D,MORTGAGE,medical,Not Verified,36 months,5,42,15.61,202,0.0,0,85000.0,4.76,1
8803,B,RENT,debt_consolidation,Source Verified,36 months,3,47,12.85,271,0.0,3,40000.0,11.79,1
347,D,MORTGAGE,debt_consolidation,Verified,36 months,7,55,19.72,424,0.0,1,85000.0,27.12,0
14975,D,MORTGAGE,debt_consolidation,Source Verified,60 months,8,42,18.24,251,0.0,2,58900.0,23.41,1
12514,C,MORTGAGE,credit_card,Verified,36 months,0,50,15.61,397,0.0,1,27684.0,6.98,1
24366,E,MORTGAGE,other,Source Verified,60 months,3,85,16.69,239,0.0,6,48000.0,20.25,0
3041,A,RENT,credit_card,Not Verified,36 months,8,44,8.9,163,0.0,0,95000.0,21.74,1
16848,D,MORTGAGE,other,Verified,60 months,8,49,20.2,442,0.0,2,105000.0,4.38,0
4646,E,MORTGAGE,debt_consolidation,Not Verified,60 months,7,44,19.99,247,0.0,0,110000.0,13.25,1
18377,D,RENT,credit_card,Source Verified,36 months,1,80,14.91,128,,1,41520.0,20.35,0
2027,B,MORTGAGE,debt_consolidation,Source Verified,60 months,10,48,13.53,206,0.0,1,90041.0,22.76,1
10178,C,MORTGAGE,debt_consolidation,Source Verified,60 months,10,46,13.65,235,0.0,1,57000.0,11.16,1
17273,G,RENT,small_business,Not Verified,36 months,10,119,18.36,339,0.0,3,84000.0,23.04,1
19334,A,MORTGAGE,car,Verified,36 months,3,49,7.9,200,0.0,0,54000.0,0.56,1
27724,C,MORTGAGE,debt_consolidation,Verified,36 months,2,52,13.68,132,0.0,1,43000.0,15.63,1
23064,E,RENT,moving,Not Verified,36 months,1,38,20.2,120,0.0,3,57000.0,20.09,1
9034,B,RENT,credit_card,Not Verified,36 months,2,42,10.99,210,0.0,2,29000.0,13.29,1
29376,B,RENT,debt_consolidation,Verified,36 months,10,42,12.49,220,0.0,0,50000.0,6.91,1
13606,E,MORTGAGE,debt_consolidation,Source Verified,36 months,10,38,20.2,187,0.0,0,61000.0,27.42,1
17450,E,MORTGAGE,debt_consolidation,Not Verified,60 months,4,77,17.99,156,,0,69000.0,15.08,0
14833,C,MORTGAGE,debt_consolidation,Not Verified,36 months,6,48,14.47,257,0.0,0,76000.0,11.32,1
19921,B,RENT,debt_consolidation,Not Verified,36 months,7,41,10.99,216,,3,62000.0,25.55,1
990,A,RENT,debt_consolidation,Not Verified,36 months,7,43,6.03,184,0.0,1,102000.0,5.86,1
3777,C,RENT,credit_card,Source Verified,60 months,2,43,15.31,94,,0,42000.0,26.09,1
16987,F,MORTGAGE,home_improvement,Verified,60 months,0,48,24.99,244,0.0,0,170000.0,7.02,1
4023,C,MORTGAGE,debt_consolidation,Verified,36 months,10,58,17.27,343,0.0,0,108000.0,30.82,1
25853,A,RENT,credit_card,Not Verified,36 months,8,46,6.62,197,0.0,0,42000.0,20.8,1
16032,B,RENT,other,Source Verified,36 months,0,93,10.99,281,0.0,5,10000.0,16.8,0
6456,E,RENT,debt_consolidation,Not Verified,36 months,2,49,21.0,243,0.0,1,63000.0,14.3,1
1970,B,OWN,debt_consolidation,Not Verified,60 months,3,77,11.49,237,0.0,1,52000.0,24.81,1
14761,E,RENT,other,Not Verified,60 months,0,64,21.98,184,0.0,1,26880.0,16.7,1
8234,C,MORTGAGE,debt_consolidation,Verified,60 months,0,53,15.22,375,0.0,1,42000.0,20.57,1
16844,D,RENT,debt_consolidation,Verified,60 months,10,38,15.61,177,0.0,0,29300.0,8.6,1
26271,E,RENT,debt_consolidation,Source Verified,60 months,3,43,20.49,229,0.0,1,40400.0,25.52,1
11355,D,MORTGAGE,other,Verified,60 months,0,49,19.52,271,0.0,0,46440.0,19.53,1
11043,C,MORTGAGE,debt_consolidation,Verified,36 months,0,47,16.24,194,0.0,0,114000.0,7.22,1
20859,D,MORTGAGE,debt_consolidation,Source Verified,60 months,2,46,16.59,175,0.0,0,41858.0,4.5,1
4635,B,MORTGAGE,debt_consolidation,Source Verified,36 months,5,48,11.99,195,0.0,0,90000.0,29.6,1
22352,B,RENT,debt_consolidation,Source Verified,36 months,10,47,12.85,345,0.0,0,86235.0,26.05,0
12342,D,MORTGAGE,debt_consolidation,Verified,36 months,7,54,18.49,169,0.0,0,61000.0,23.78,1
2163,B,MORTGAGE,debt_consolidation,Not Verified,36 months,6,76,11.99,307,0.0,0,105000.0,9.27,1
